Subject,Title of book ,Author,Year of Publication
Integral Transform and Vector Calculus,Higher Engineering Mathematics,B. S. Grewal,2014
Data Structures,Fundamentals Of Data Structures In C,"Ellis Horowitz, Sartaj Sahni, Susan, Anderson-Freed",2008
Computer Organization and Architecture,Computer Organization and Architecture: Designing for Performance,W.Stallings William,
Object Oriented Programming Methodology,The complete Reference JAVA7,Herbert schildt,2017
Discrete Mathematics,Discrete Mathematics and its applications,Kenneth H. Rosen,2017
Digital Design Laboratory,Modern Digital Electronics,R. P. Jain,2009
"Probability, Statistics and Optimization Techniques",Higher Engineering Mathematics,B. S. Grewal,2014
Analysis of Algorithms,"“Introduction to Algorithms”,","T. H. Coreman, C.E. Leiserson, R.L. Rivest, and C. Stein",2005
Relational Database Management Systems,“Fundamentals of Database Systems”,Elmasri and Navathe,
Theory of Automata with Compiler Design,"“Introduction to Automata Theory, Languages and Computation”","John E. Hopcroft , Rajeev Motwani Jeffrey D. Ullman",2006
Web Programming Laboratory, Web Design The complete Reference,Thomas Powell,2010
