Subject,Title of book ,Author,Year of Publication
Mathematics for Communication Engineering - I,Higher Engineering Mathematics,B. S. Grewal,2014
Basic Electronic Circuits,Electronic Circuit Analysis and Design,D. A. Neamen,2014
Digital Logic Design,Digital Design: With an Introduction to Verilog HDL,Morris Mano and Michael D. Ciletti,2013
Microprocessor and Microcontroller,The 8086 Microprocessor Programming & Interfacing The PC,Kenneth J. Ayala,2008
Electrical Network Theory,“Network Analysis”,M E Van Valkenburg,2008
Data Structures and Analysis of Algorithms Laboratory,Data Structures Using C and C++,"Langsam Yedidyah, Augenstein J Moshe, Tenenbaum M Aaron",2009
Mathematics for Communication Engineering - II,Higher Engineering Mathematics,B. S. Grewal,2014
Analog Electronics,Electronic Circuit Analysis and Design,Donald A. Neamen,2014
Communication Systems,Modern Digital and Analog Communication system,"B.P. Lathi, Zhi Ding",2017
Signals and Systems,Principles of Linear Systems and Signals,B.P. Lathi,2010
Electromagnetic Field Theory,Engineering Electromagnetics,William H. Hayt,2012
William H. Hayt,Circuit Design and Simulation with VHDL,Volnei A. Pedroni,2011
